PlayCode,shortTitlenoArticle,shortTitle,Genre,Author,AuthorTitlePage,GeneralTitlePageAuthor,InternalTitlePageAuthor,TitlePageTitle,GeneralTitlePageTitle,InternalTitlePageTitle,Printer,Publisher,Bookseller,TitlePageImprint,GeneralTitlePageImprint,InternalTitlePageImprint,TitlePagePublicationStatement,GeneralTitlePagePublicationStatement,InternalTitlePagePublicationStatement,PubPlace,UncertainPrintingDate,TitlePagePrintingDate,UncertainPerformDate,performDate,performDateQualified,CompanyFirstProduction,TitlePageCompany,Adult/Boy,TitlePageTheater,TitlePagePerformanceStatement,GeneralTitlePagePerformanceStatement,InternalTitlePagePerformanceStatement,Format,CollectionItem,CollectionDetails,paratextualMaterials,STC/Wing,ESTCNo,ESTCNo-URL,WigginsNo,DEEPNo,DEEPNo-URL,GregNo,ReelNo,TCPID,HoldingRepository,HoldingRepository-URL,Facsimiles,Other Editions,Folger Record URL,Hamnet Bib Id,SHC,printingDate,TCPTranscriptionStatus
Endy,"Endymion, the Man in the Moon","Endymion, the Man in the Moon",Comedies,John Lyly (Uncertain: No)|,,,,"ENDIMION, The Man in the Moone",,,John Charlewood (Uncertain: No)|,Joan Broome (Uncertain: No)|,,"AT LONDON, Printed by I. Charlewood, for the widdowe Broome. 1591.",,,,,,London,No,1591,No,1588,1588,Children of Paul's (first),Children of Paul's (first),Boy Company,Greenwich (palace),"Playd before the Queenes Maiestie at Greenewich on Candlemas day at night, by the Chyldren of Paules.",,,quarto,No,,"TO THE READER: ""The Printer to the Reader"" [A2r]",STC 17050,S109719,http://estc.bl.uk/S109719,794,133,http://deep.sas.upenn.edu/133,99a,STC / 554:07,A06589,Huntington,http://catalog.huntington.org/record=b1500754,,,,,159-A06589,1591,Phase 1
LovMeta,Love's Metamorphosis,Love's Metamorphosis,Pastoral plays,John Lyly (Uncertain: No)|,Mr. Iohn Lyllie.,,,"LOVES METAMORPHOSIS. A VVittie and Courtly Pastorall,",,,Simon Stafford (Uncertain: No)|,William Wood (Uncertain: No)|,,"LONDON Printed for William Wood, dwelling at the West end of Paules, at the signe of Time. 1601.",,,,,,London,No,1601,Yes,1590,[c.1588–1590],Children of Paul's (first),Children of Paul's (first)|Children of the Chapel (second),Boy Company,,"First playd by the Children of Paules, and now by the Children of the Chappell.",,,quarto,No,,,STC 17082,S109730,http://estc.bl.uk/S109730,841,317,http://deep.sas.upenn.edu/317,178a,STC / 894:01,A06620,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=002293426,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=163505,163505,159-A06620,1601,Phase 1
MoBo,Mother Bombie,Mother Bombie,Comedies,John Lyly (Uncertain: No)|,,,,MOTHER BOMBIE,,,Thomas Scarlet (Uncertain: No)|,Cuthbert Burby (Uncertain: No)|,,"LONDON, Imprinted by Thomas Scarlet for Cuthbert Burby. 1594.",,,,,,London,No,1594,Yes,1591,[1587–1591],Children of Paul's (first),Children of Paul's (first),Boy Company,,As it was sundrie times plaied by the Children of Powles.,,,quarto,No,,,STC 17084,S114225,http://estc.bl.uk/S114225,826,192,http://deep.sas.upenn.edu/192,125a,STC / 1523:04,A06622,Bodleian,http://solo.bodleian.ox.ac.uk/OXVU1:oxfaleph014448053,,,,,159-A06622,1594,Phase 1
1AntMel,Antonio and Mellida,Antonio and Mellida,Tragicomedies,John Marston (Uncertain: No)|,I. M.,,,THE HISTORY OF Antonio and Mellida. The first part.,,,Richard Bradock (Uncertain: No)|,Thomas Fisher (Uncertain: No)| Matthew Lownes (Uncertain: No)|,,"LONDON Printed for Mathewe Lownes, and Thomas Fisher, and are to be soulde in Saint Dunstans Church-yarde. 1602.",,,,,,London,No,1602,Yes,1599,[1599–1600],Children of Paul's (second),Children of Paul's (second),Boy Company,,"As it hath beene sundry times acted, by the children of Paules.",,,quarto,No,,"DEDICATION: Epistle to: ""No-body""; from: John Marston [A2r]",STC 17473,S109896,http://estc.bl.uk/S109896,1218,325,http://deep.sas.upenn.edu/325,184a,STC / 894:14,A07063,Folger,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=163581,Boston Public Library G.3974.3 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=163581,163581,159-A07063,1602,Phase 1
Locrine,Locrine,Locrine,Tragedies,W. S. (Uncertain: No)|,VV. S.,,,"THE Lamentable Tragedie of Locrine, the eldest sonne of King Brutus, discoursing the warres of the Britaines, and Hunnes, with their discomfiture: The Britaines victorie with their Accidents, and the death of Albanact. No lesse pleasant then profitable",,,Thomas Creede (Uncertain: No)|,,,LONDON Printed by Thomas Creede. 1595.,,,,,,London,No,1595,Yes,1594,[c.1594],Unknown,,Adult Company,,,,,quarto,No,,,STC 21528,S106301,http://estc.bl.uk/S106301,885,210,http://deep.sas.upenn.edu/210,136a,STC / 352:04,A11262,Huntington,http://catalog.huntington.org/record=b1498729,Folger STC 21528 copy 1 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=161350,161350,159-A11262,1595,Phase 1
Cyrus,Wars of Cyrus,The Wars of Cyrus,Tragedies,Anonymous (Uncertain: No)|,,,,"THE WARRES OF CYrus King of Persia, against Antiochus King of Assyria, with the Tragicall ende of Panthæa.",,,Edward Allde (Uncertain: No)|,William Blackwall (Uncertain: No)|,,"LONDON Printed by E. A. for William Blackwal, and are to be sold at his shop ouer against Guild-hall gate. 1594.",,,,,,London,No,1594,Yes,1588,[1587–1594],Children of the Chapel (first),Children of the Chapel (first),Boy Company,,Played by the children of her Maiesties Chappell.,,,quarto,No,,,STC 6160,S109178,http://estc.bl.uk/S109178,813,205,http://deep.sas.upenn.edu/205,131a,STC / 493:02,A19738,Huntington,http://catalog.huntington.org/record=b1500421,,,,,159-A19738,1594,Phase 1
AEG,"Alphonsus, Emperor of Germany","Alphonsus, Emperor of Germany",Tragedies,Anonymous (Uncertain: No)|,George Chapman Gent.,,,THE TRAGEDY OF ALPHONSUS EMPEROUR OF GERMANY,,,,Humphrey Moseley (Uncertain: No)|,,"LONDON, Printed for HUMPHREY MOSELEY, and are to be sold at his Shopp at the Princes-Arms in St. Pauls Church-yard 1654.",,,,,,London,No,1654,Yes,1594,[before 1604?],King's Men,King's Men,Adult Company,Blackfriars,As it hath been very often Acted (with great applause) at the Privat house in BLACK-FRIERS by his late MAIESTIES Servants.,,,quarto,No,,"TO THE READER: ""To the Reader"" [A2r] CHARACTER LIST: ""Dramatis Personæ"" [A2v]",Wing C1952,R19355,http://estc.bl.uk/R19355,,1086,http://deep.sas.upenn.edu/1086,729a(*),Wing / 86:12,A31675,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=000660940,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=138143,138143,159-A31675,1654,Phase 1
Goosecap,Sir Giles Goosecap,Sir Giles Goosecap,Comedies,George Chapman (Uncertain: No)|,,,,SIR GYLES GOOSECAPPE Knight. A Comedie,,,John Windet (Uncertain: No)|,Edward Blount (Uncertain: No)|,,AT LONDON. Printed by Iohn Windet for Edward Blunt. 1606.,,,,,,London,No,1606,No,1602,1602,Children of the Chapel (second),Children of the Chapel (second),Boy Company,,presented by the Chil: of the Chappell.,,,quarto,No,,CHARACTER LIST: names of characters [A1v],STC 12050,S103309,http://estc.bl.uk/S103309,1340,421,http://deep.sas.upenn.edu/421,228a,STC / 958:23,A01911,Huntington,http://catalog.huntington.org/record=b1507808,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=159819,159819,160-A01911,1606,Phase 1
RKLS,"Royal King and the Loyal Subject, The",The Royal King and the Loyal Subject,Tragicomedies,Thomas Heywood (Uncertain: No)|,Thomas Heywood.,,,"THE ROYALL KING, AND The Loyall Subject.",,,Nicholas Okes (Uncertain: No)| John Okes (Uncertain: No)|,James Becket (Uncertain: No)|,,"LONDON, Printed by Nich. and John Okes for James Becket, and are to be sold at his shop at the inner Temple neare the Gate. 1637.",,,,,,London,No,1637,Yes,1602,[1602–1618],Worcester's Men,Queen Henrietta Maria's Men,Adult Company,,As it hath beene Acted with great Applause by the Queenes Maiesties Servants.,,,quarto,No,,"TO THE READER: ""The Epilogue to the Reader"" (verses) [K3v] CHARACTER LIST: ""Drammatis Personæ"" [A3v]",STC 13364,S104074,http://estc.bl.uk/S104074,1504,869,http://deep.sas.upenn.edu/869,516a,STC / 839:13,A03248,Huntington,http://catalog.huntington.org/record=b1497533,Folger STC 13364 copy 2 (not transcribed copy)| Boston Public Library G.3972.30 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=160284,160284,160-A03248,1637,Phase 1
WWH,Wise Woman of Hogsdon,The Wise Woman of Hogsdon,Comedies,Thomas Heywood (Uncertain: No)|,THO: HEYVVOOD.,,,The VVise-woman of HOGSDON. A COMEDIE.,,,Marmaduke Parsons (Uncertain: No)|,Henry Shepherd (Uncertain: No)|,,"LONDON, Printed by M. P. for Henry Shephard, and are to be sold at his Shop in Chancerie-Lane, at the Signe of the Bible, between Serjeants-Inne and Fleet-street. 1638.",,,,,,London,No,1638,Yes,1604,[c.1604?],Queen Anne's Men,,Adult Company,,As it hath been sundry times Acted with great Applause.,,,quarto,No,,"COMMENDATORY VERSES: 1: by ""Samuel King"" [I4v] CHARACTER LIST: ""Drammatis Personæ"" [A1v]",STC 13370,S104077,http://estc.bl.uk/S104077,,889,http://deep.sas.upenn.edu/889,535a,STC / 890:16,A03255,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=001677342,Boston Public Library G.3972.32 (not transcribed copy)| British Library 644.3.41. (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=160286,160286,160-A03255,1638,Phase 1
Devils,"Devil's Charter, or Pope Alexander the Sixth","The Devil's Charter, or Pope Alexander the Sixth",Tragedies,Barnabe Barnes (Uncertain: No)|,Barnabe Barnes [on verso],,,THE DIVILS CHARTER: A TRAGÆDIE Conteining the Life and Death of Pope ALEXANDER the sixt.,,,George Eld (Uncertain: No)|,John Wright 1 (Uncertain: No)|,,"AT LONDON Printed by G. E. for Iohn Wright, and are to be sold at his shop in New-gate market, neere Christ church gate. 1607.",,,,,,London,No,1607,No,1606,1606,King's Men,King's Men,Adult Company,,"As it was plaide before the Kings Maiestie, vpon Candlemasse night last: by his Maiesties Seruants.",,,quarto,No,,DEDICATION: Dedication to: William Herbert (1st Baron Powis); and William Pope (Earl of Down); from: Barnabe Barnes [A1v],STC 1466,S122228,http://estc.bl.uk/S122228,1523,493,http://deep.sas.upenn.edu/493,254a(i),STC / 695:08,A04539,Cambridge,http://ul-newton.lib.cam.ac.uk/vwebv/holdingsInfo?bibId=6061583,Boston Public Library G.4014.10 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=169363,169363,160-A04539,1607,Phase 1
Ram,"Ram Alley, or Merry Tricks","Ram Alley, or Merry Tricks",Comedies,Lording Barry (Uncertain: No)|,Lo: Barrey.,,,RAM-ALLEY: Or Merrie-Trickes. A COMEDY,,,George Eld (Uncertain: No)|,Robert Wilson (Uncertain: No)|,,"AT LONDON Printed by G. Eld, for Robert Wilson, and are to be sold at ramhis shop in Holborne, at the new gate of Grayes Inne. 1611.",,,,,,London,No,1611,Yes,1608,[1608–1610?],Children of the King's Revels,Children of the King's Revels,Boy Company,,Diuers times here-to-fore acted By the Children of the Kings Reuels.,,,quarto,No,,"CHARACTER LIST: ""Actorum nomina"" [A2v]",STC 1502,S114802,http://estc.bl.uk/S114802,1572,562,http://deep.sas.upenn.edu/562,292a,STC / 824:16,A04881,Bodleian,http://solo.bodleian.ox.ac.uk/OXVU1:oxfaleph014511702,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=165616,165616,160-A04881,1611,Phase 1
CupRev,Cupid's Revenge,Cupid's Revenge,Tragedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,Iohn Fletcher.,,,CVPIDS REVENGE.,,,Thomas Creede (Uncertain: No)|,Josias Harrison (Uncertain: No)|,,"LONDON Printed by Thomas Creede for Iosias Harison, and are to bee solde at the Golden Anker in Pater-Noster-Row. 1615.",,,,,,London,No,1615,Yes,1608,[c.1607–1608],Children of the Queen's Revels,Children of the Queen's Revels,Boy Company,,As it hath beene diuers times Acted by the Children of her Maiesties Reuels.,,,quarto,No,,"TO THE READER: ""The Printer to the Reader"" [A2r]",STC 1667,S101156,http://estc.bl.uk/S101156,1533,620,http://deep.sas.upenn.edu/620,328a,STC / 1164:05,A06177,Huntington,http://catalog.huntington.org/record=b1508137,,,,,160-A06177,1615,Phase 1
KBP,Knight of the Burning Pestle,The Knight of the Burning Pestle,Comedies|Romance plays,Francis Beaumont (Uncertain: No)|,,,,THE KNIGHT OF the Burning Pestle,,,Nicholas Okes (Uncertain: No)|,Walter Burre (Uncertain: No)|,,"LONDON, Printed for Walter Burre, and are to be sold at the signe of the Crane in Paules Church-yard. 1613.",,,,,,London,No,1613,No,1607,1607,Children of the Queen's Revels,,Boy Company,,,,,quarto,No,,"DEDICATION: ""The Epistle Dedicatory"" to: Robert Keysar (Children of the Revels manager); from: Walter Burre (the publisher) [A2r]",STC 1674,S104553,http://estc.bl.uk/S104553,1562,604,http://deep.sas.upenn.edu/604,316a,STC / 734:10,A06252,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=001988376,Boston Public Library G.3967.1 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=160535,160535,160-A06252,1613,Phase 1
Phil,Philaster,Philaster,Tragicomedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,Francis Baymont and Iohn Fletcher. Gent.,,,"PHYLASTER. Or, Loue lyes a Bleeding.",,,Nicholas Okes (Uncertain: No)|,Thomas Walkley (Uncertain: No)|,,"Printed at London for Thomas Walkley, and are to be sold at his shop at the Eagle and Child, in Brittaines Bursse. 1620.",,,,,,London,No,1620,No,1609,1609,King's Men,King's Men,Adult Company,Globe,Acted at the Globe by his Maiesties Seruants.,,,quarto,No,,"CHARACTER LIST: ""The Actors Names"" [A2v]",STC 1681.5,S101198,http://estc.bl.uk/S101198,1597,678,http://deep.sas.upenn.edu/678,363a(†),STC / 1702:07,A06343,Huntington,http://catalog.huntington.org/record=b1496100,,,,,160-A06343,1620,Phase 1
WoHa,Woman Hater (The Hungry Courtier),The Woman Hater (The Hungry Courtier),Comedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,,,,THE VVOMAN HATER.,,,Robert Raworth (Uncertain: No)|,,John Hodgets (Uncertain: No)|,"LONDON Printed, and are to be sold by John Hodgets in Paules Church-yard. 1607.",,,,,,London,No,1607,No,1606,1606,Children of Paul's (second),Children of Paul's (second),Boy Company,,As it hath beene lately Acted by the Children of Paules.,,,quarto,No,,,STC 1693,S104554,http://estc.bl.uk/S104554,1522,469,http://deep.sas.upenn.edu/469,245a(†),STC / 982:13,A06458,Victoria and Albert,,Boston Public Library G.3962.1 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=160536,160536,160-A06458,1607,Phase 1
MMeta,"Maid's Metamorphosis, The",The Maid's Metamorphosis,Comedies,Anonymous (Uncertain: No)|,,,,THE Maydes Metamorphosis,,,Thomas Creede (Uncertain: No)|,Richard Oliffe (Uncertain: No)|,,"LONDON Printed by Thomas Creede, for Richard Oliue, dwelling in long Lane. 1600.",,,,,,London,No,1600,Yes,1600,[1599–1600],Children of Paul's (second),Children of Paul's (second),Boy Company,,As it hath bene sundrie times Acted by the Children of Powles.,,,quarto,No,,,STC 17188,S111865,http://estc.bl.uk/S111865,1231,287,http://deep.sas.upenn.edu/287,164a,STC / 431:07,A06742,Huntington,http://catalog.huntington.org/record=b1501668,,,,,160-A06742,1600,Phase 1
Dumb,"Dumb Knight, The",The Dumb Knight,Comedies,Gervase Markham (Uncertain: No)| Lewis Machin (Uncertain: No)|,,,,"The dumbe Knight. A historicall Comedy,",,,Nicholas Okes (Uncertain: No)|,John Bache (Uncertain: No)|,,"LONDON, Printed by Nicholas Okes, for Iohn Bache, and are to be sold at his shop in Popes-head Palace, neere to the Royall Exchange. 1608.",,,,,,London,No,1608,Yes,1608,[1607–1608],Children of the King's Revels,Children of the King's Revels,Boy Company,,acted sundry times by the children of his Maiesties Reuels.,,,quarto,No,,"TO THE READER: ""To the vnderstanding Reader"" signed ""Lewes Machin"" [A3r]",STC 17398,S112116,http://estc.bl.uk/S112116,1563,533,http://deep.sas.upenn.edu/533,277a(*),STC / 1386:12,A06975,Huntington,http://catalog.huntington.org/record=b1501734,,,,,160-A06975,1608,Phase 1
